/* Data file autogenerated */

data;

set SNnodes := 0 1 2 3 4 5 6 7 8 9 10;

set SNlinks := (0,1) (1,0) (0,2) (2,0) (0,3) (3,0) (0,7) (7,0) (1,2) (2,1) (1,5) (5,1) (1,6) (6,1) (1,8) (8,1) (2,3) (3,2) (2,4) (4,2) (2,6) (6,2) (3,4) (4,3) (3,7) (7,3) (3,8) (8,3) (4,5) (5,4) (4,7) (7,4) (4,9) (9,4) (5,6) (6,5) (5,9) (9,5) (5,10) (10,5) (6,10) (10,6) (7,8) (8,7) (7,9) (9,7) (8,9) (9,8) (8,10) (10,8) (9,10) (10,9);

set VNnodes := 7 5 1;

set VNlinks := (7,1) (1,7) (7,5) (5,7);

param: 		LinkCapacity :=
0 1 		58.603
1 0 		58.603
0 2 		85.97
2 0 		85.97
0 3 		67.197
3 0 		67.197
0 7 		90.45
7 0 		90.45
1 2 		68.775
2 1 		68.775
1 5 		91.994
5 1 		91.994
1 6 		64.744
6 1 		64.744
1 8 		64.909
8 1 		64.909
2 3 		61.127
3 2 		61.127
2 4 		50.49
4 2 		50.49
2 6 		56.634
6 2 		56.634
3 4 		91.881
4 3 		91.881
3 7 		63.608
7 3 		63.608
3 8 		70.672
8 3 		70.672
4 5 		71.211
5 4 		71.211
4 7 		91.929
7 4 		91.929
4 9 		71.557
9 4 		71.557
5 6 		79.773
6 5 		79.773
5 9 		63.992
9 5 		63.992
5 10 		83.831
10 5 		83.831
6 10 		62.815
10 6 		62.815
7 8 		83.329
8 7 		83.329
7 9 		52.68
9 7 		52.68
8 9 		90.637
9 8 		90.637
8 10 		54.096
10 8 		54.096
9 10 		87.007
10 9 		87.007;

param: 		VLinkDemand :=

7 1 		4.354
1 7 		4.354
7 5 		13.248
5 7 		13.248;

param w1 := 0.7;
param w2 := 0.3;


end;
