/* Data file autogenerated */

data;

set SNnodes := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24;

set SNlinks := (0,19) (0,17) (0,11) (0,10) (0,9) (0,7) (0,5) (1,24) (1,21) (1,16) (1,15) (1,12) (1,10) (1,9) (1,8) (1,4) (1,3) (2,23) (2,21) (2,20) (2,18) (2,17) (2,8) (2,7) (2,6) (2,4) (3,24) (3,23) (3,21) (3,18) (3,15) (3,14) (3,12) (3,11) (3,7) (3,5) (3,4) (4,24) (4,22) (4,20) (4,17) (4,16) (4,11) (4,9) (4,8) (4,7) (4,6) (4,5) (5,20) (5,19) (5,18) (5,17) (5,14) (5,11) (5,10) (5,9) (5,8) (5,7) (6,24) (6,23) (6,17) (6,15) (6,14) (6,13) (6,11) (6,10) (6,9) (6,8) (7,24) (7,21) (7,20) (7,18) (7,17) (7,16) (7,14) (7,12) (7,11) (7,9) (8,22) (8,21) (8,18) (8,17) (8,16) (8,15) (8,13) (8,11) (8,9) (9,24) (9,22) (9,16) (9,15) (10,24) (10,22) (10,18) (10,15) (10,14) (10,12) (11,23) (11,22) (11,21) (11,14) (11,13) (12,22) (12,21) (12,20) (12,14) (12,13) (13,22) (13,20) (13,19) (13,15) (14,24) (14,23) (14,20) (14,17) (14,15) (15,23) (15,20) (15,19) (15,18) (15,17) (15,16) (16,24) (16,21) (16,18) (17,22) (17,21) (17,20) (17,19) (18,24) (18,23) (18,22) (18,21) (19,24) (19,21) (20,24) (20,23) (20,22) (21,24) (21,23) (21,22) (22,24);

set VNnodes := 4 8 6;

set VNlinks := (4,6) (4,8);

param: 		LinkCapacity :=
0 19 		88.83
0 17 		52.789
0 11 		74.408
0 10 		78.981
0 9 		99.228
0 7 		72.488
0 5 		56.723
1 24 		78.939
1 21 		66.077
1 16 		78.024
1 15 		67.043
1 12 		73.014
1 10 		86.22
1 9 		53.828
1 8 		70.703
1 4 		68.073
1 3 		56.348
2 23 		51.103
2 21 		62.43
2 20 		69.67
2 18 		91.791
2 17 		77.492
2 8 		71.888
2 7 		67.065
2 6 		71.461
2 4 		63.85
3 24 		65.054
3 23 		79.166
3 21 		99.361
3 18 		97.624
3 15 		72.828
3 14 		69.382
3 12 		58.196
3 11 		75.989
3 7 		88.826
3 5 		66.446
3 4 		55.723
4 24 		96.782
4 22 		56.073
4 20 		64.143
4 17 		50.513
4 16 		53.462
4 11 		67.118
4 9 		78.688
4 8 		73.083
4 7 		56.662
4 6 		85.613
4 5 		85.104
5 20 		75.874
5 19 		65.889
5 18 		58.872
5 17 		73.315
5 14 		93.735
5 11 		87.902
5 10 		87.755
5 9 		98.142
5 8 		91.407
5 7 		79.716
6 24 		92.052
6 23 		54.063
6 17 		58.439
6 15 		79.078
6 14 		88.464
6 13 		99.774
6 11 		72.271
6 10 		98.195
6 9 		54.324
6 8 		85.071
7 24 		64.886
7 21 		59.101
7 20 		66.52
7 18 		85.103
7 17 		99.936
7 16 		96.779
7 14 		84.949
7 12 		51.383
7 11 		60.531
7 9 		62.015
8 22 		96.053
8 21 		83.576
8 18 		76.526
8 17 		57.063
8 16 		61.08
8 15 		54.317
8 13 		69.274
8 11 		84.494
8 9 		96.106
9 24 		78.568
9 22 		74.316
9 16 		89.765
9 15 		82.248
10 24 		60.331
10 22 		90.027
10 18 		69.715
10 15 		92.785
10 14 		55.965
10 12 		96.485
11 23 		65.434
11 22 		79.295
11 21 		64.227
11 14 		79.288
11 13 		57.736
12 22 		96.112
12 21 		66.141
12 20 		82.547
12 14 		76.335
12 13 		77.094
13 22 		89.609
13 20 		72.046
13 19 		93.951
13 15 		54.766
14 24 		56.997
14 23 		92.025
14 20 		53.417
14 17 		72.88
14 15 		94.158
15 23 		78.258
15 20 		84.551
15 19 		69.289
15 18 		55.824
15 17 		89.359
15 16 		55.369
16 24 		56.377
16 21 		69.073
16 18 		65.12
17 22 		78.106
17 21 		53.4
17 20 		95.823
17 19 		52.661
18 24 		51.883
18 23 		60.84
18 22 		77.962
18 21 		95.251
19 24 		95.463
19 21 		88.827
20 24 		83.999
20 23 		87.475
20 22 		94.224
21 24 		61.002
21 23 		69.415
21 22 		64.672
22 24 		80.375;

param: 		VLinkDemand :=

4 6 		6.56
4 8 		1.818;

param w1 := 0.7;
param w2 := 0.3;


end;
